candidate_id,name,race_id,municipality,office,site,platform_words
ON-essex-town-mayor-bondy-s,Sherry Bondy,ON-essex-town-mayor,"Essex, Town of",mayor,https://sherrybondy.com,4839
ON-fort-erie-council-w04-christensen-j,Joan Christensen,ON-fort-erie-council-w04,"Fort Erie, Town of",councillor,https://votejoanchristensen.ca,2060
ON-fort-erie-mayor-liu-j,Juan LIU,ON-fort-erie-mayor,"Fort Erie, Town of",mayor,https://wwwhll.com,24629
ON-fort-erie-mayor-insinna-t,Tom INSINNA,ON-fort-erie-mayor,"Fort Erie, Town of",mayor,https://tominsinna4forterie.ca,0
ON-georgian-bay-council-district-wards1-3-laurie-russell,Laurie Russell,ON-georgian-bay-council-district-wards1-3,"Georgian Bay, Township of",regional_councillor,https://laurierussell.ca/news,585
ON-georgian-bay-council-ward1-steven-predko,Steven Predko,ON-georgian-bay-council-ward1,"Georgian Bay, Township of",councillor,http://steve.predko.ca/,0
ON-georgian-bay-council-ward4-allan-hazelton,Allan Hazelton,ON-georgian-bay-council-ward4,"Georgian Bay, Township of",councillor,https://allanhazelton.ca/,0
ON-georgian-bluffs-mayor-carleton-s,Susan (Sue) Carleton,ON-georgian-bluffs-mayor,"Georgian Bluffs, Township of",mayor,https://www.suecarleton.ca,0
ON-georgina-council-w03-edge-a,Andrew Edge,ON-georgina-council-w03,"Georgina, Town of",councillor,https://andrewedge.ca,772
ON-georgina-council-w05-wolfe-k,Karen Wolfe,ON-georgina-council-w05,"Georgina, Town of",councillor,https://www.karenwolfe4ward5.ca,3976
ON-goderich-deputy-mayor-carroll-r,Randy Carroll,ON-goderich-deputy-mayor,"Goderich, Town of",deputy_mayor,https://www.randycarroll.ca,0
ON-gravenhurst-council-w05-kilbourne-t,Tina Kilbourne,ON-gravenhurst-council-w05,"Gravenhurst, Town of",councillor,https://christinakilbourne.com,0
ON-gravenhurst-district-councillor-hollingshead-j,Jaden Hollingshead,ON-gravenhurst-district-councillor,"Gravenhurst, Town of",regional_councillor,https://jadenhollingshead.ca,0
ON-greater-madawaska-councillor-ward1-rob-tripp,Rob Tripp,ON-greater-madawaska-councillor-ward1,"Greater Madawaska, Township of",councillor,https://www.robtripp.ca/meetrob,375
ON-greater-sudbury-council-w02-benoit-e,Eric Benoit,ON-greater-sudbury-council-w02,"Greater Sudbury, City of",councillor,https://www.eric4ward2.ca,0
ON-greater-sudbury-council-w09-gasparini-c,Carly Gasparini,ON-greater-sudbury-council-w09,"Greater Sudbury, City of",councillor,https://www.carlygasparini.ca/,0
ON-greater-sudbury-council-w10-stopciati-p,Paul Stopciati,ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,http://electpaulstopciati.ca,0
ON-greater-sudbury-council-w10-seiling-s,Suzanne Seiling,ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,https://www.votesuzanne.ca,461
ON-grey-highlands-deputy-mayor-loughead-j,Joel Loughead,ON-grey-highlands-deputy-mayor,"Grey Highlands, Municipality of",deputy_mayor,https://www.joelloughead.com,198
ON-grimsby-council-w01-smeenk-m,Margot Smeenk,ON-grimsby-council-w01,"Grimsby, Town of",councillor,https://www.think.smeenk.ca,0
ON-guelph-council-w01-dan-gibson,Dan Gibson,ON-guelph-council-w01,"Guelph, City of",councillor,https://www.ward1guelph.ca,2405
ON-guelph-council-w01-evan-silva,Evan Silva,ON-guelph-council-w01,"Guelph, City of",councillor,https://evan4guelph.ca/platform/affordable,1162
ON-guelph-council-w01-mustafa-zuberi,Mustafa Zuberi,ON-guelph-council-w01,"Guelph, City of",councillor,https://Mustafa4Ward1.ca,894
ON-guelph-council-w02-alec-purves,Alec Purves,ON-guelph-council-w02,"Guelph, City of",councillor,https://alecpurves2026.com,813
ON-guelph-council-w02-rodrigo-goller,Rodrigo Goller,ON-guelph-council-w02,"Guelph, City of",councillor,https://goller4ward2.ca,0
ON-guelph-council-w03-phil-allt,Phil Allt,ON-guelph-council-w03,"Guelph, City of",councillor,https://philallt.ca/issues/supporting-our-community-the-role-of-the-food-bank,9893
ON-guelph-council-w03-ross-jennings,Ross Jennings,ON-guelph-council-w03,"Guelph, City of",councillor,https://www.rossforward3.ca/,420
ON-guelph-council-w04-brendan-clark,Brendan Clark,ON-guelph-council-w04,"Guelph, City of",councillor,https://www.brendanclark.ca,4097
ON-guelph-council-w05-dakota-cherry,Dakota Cherry,ON-guelph-council-w05,"Guelph, City of",councillor,https://www.dakotacherry.ca,0
ON-guelph-council-w05-james-doran,James Doran,ON-guelph-council-w05,"Guelph, City of",councillor,https://jamesdoran.ca,0
ON-guelph-council-w05-jon-christensen,Jon Christensen,ON-guelph-council-w05,"Guelph, City of",councillor,https://jonchristensen.ca/priorities,5289
ON-guelph-council-w05-michael-agueci,Michael Agueci,ON-guelph-council-w05,"Guelph, City of",councillor,https://michaelforguelph.ca,0
ON-guelph-council-w06-rebecca-adam,Rebecca Adam,ON-guelph-council-w06,"Guelph, City of",councillor,https://www.voterebeccaadam.ca/,0
ON-guelph-council-w06-shane-coulis,Shane Coulis,ON-guelph-council-w06,"Guelph, City of",councillor,https://www.shanecoulis.ca,724
ON-guelph-mayor-caron-l,Leanne Caron,ON-guelph-mayor,"Guelph, City of",mayor,https://leannecaron.ca,3052
ON-guelph-mayor-meunier-r,Ryan Meunier,ON-guelph-mayor,"Guelph, City of",mayor,https://meunierformayor.ca,722
ON-BD-ugdsb-trustee-guelph-eramosa-edwards-j,Jen Edwards,ON-BD-ugdsb-trustee-guelph-eramosa,"Guelph/Eramosa, Township of",trustee,https://jenedwards4trustee.weebly.com,567
ON-haldimand-county-council-w04-dalimonte-t,Tony Dalimonte,ON-haldimand-county-council-w04,Haldimand County,councillor,https://www.tonydalimonte.ca,0
ON-haldimand-county-mayor-griffin-a,Andy Griffin,ON-haldimand-county-mayor,Haldimand County,mayor,https://www.griffinformayor.ca,366
ON-halton-hills-council-w02-dragicevic-d,Daniel Dragicevic,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://www.danield.ca/commitments.php,2947
ON-halton-hills-council-w02-paige-k,Ken Paige,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://www.kenpaige.ca/,0
